;filename;text;hit
151;./greyInner/NeilPatrickHarris(Barney)1_1_cut.png;Barney;1
153;./greyInner/NeilPatrickHarris(Barney)13_4_cut.png;Barney;1
155;./greyInner/NeilPatrickHarris(Barney)3_7_cut.png;Barney;1
61;./greyInner/EmilyDeschanel15_1_cut.png;Bones;1
62;./greyInner/EmilyDeschanel3_1_cut.png;Bones;1
63;./greyInner/EmilyDeschanel5_1_cut.png;Bones;1
65;./greyInner/EmilyDeschanel8_3_cut.png;Bones;1
132;./greyInner/LeonardoDiCaprio2_1_cut.png;Brad Pit;0
31;./greyInner/BritneySpears1_1_cut.png;Britney Spears;1
34;./greyInner/BritneySpears7_1_cut.png;Britney Spears;1
33;./greyInner/BritneySpears5_1_cut.png;Britney Spears;1
76;./greyInner/GeorgeClooney11_1_cut.png;Charlie Sheen;0
51;./greyInner/DannFlorek(DonaldDonCragen)1_1_cut.png;Chef bei Law und Order;0
134;./greyInner/LeonardoDiCaprio4_1_cut.png;DiCaprio;1
135;./greyInner/LeonardoDiCaprio7_1_cut.png;DiCaprio;1
164;./greyInner/OmarEpps(DrEricForeman)5_2_cut.png;Dr Hous;0
85;./greyInner/HughLaurie(DrHouse)9_2_cut.png;Dr House;1
163;./greyInner/OmarEpps(DrEricForeman)3_1_cut.png;Dr House;0
161;./greyInner/OmarEpps(DrEricForeman)1_5_cut.png;Dr House;0
184;./greyInner/SigmarGabriel4_5_cut.png;Gabriel;1
81;./greyInner/HughLaurie(DrHouse)2_1_cut.png;House;1
82;./greyInner/HughLaurie(DrHouse)4_1_cut.png;House;1
83;./greyInner/HughLaurie(DrHouse)5_3_cut.png;House;1
74;./greyInner/GüntherJauch7_1_cut.png;Jauch;1
75;./greyInner/GüntherJauch9_1_cut.png;Jauch;1
72;./greyInner/GüntherJauch3_1_cut.png;Jauch;1
73;./greyInner/GüntherJauch4_1_cut.png;Jauch;1
108;./greyInner/JoachimLoew15_1_cut.png;Jogi Löw;1
106;./greyInner/JoachimLoew1_1_cut.png;Jogi Löw;1
110;./greyInner/JoachimLoew8_1_cut.png;Jogi Löw;1
109;./greyInner/JoachimLoew4_1_cut.png;Jogi Löw;1
39;./greyInner/CarenMiosga6_2_cut.png;Kate Winslett;0
86;./greyInner/Ice-T(OdafinFinTutuola)10_1_cut.png;Law und Order;0
90;./greyInner/Ice-T(OdafinFinTutuola)7_1_cut.png;Law und Order;0
89;./greyInner/Ice-T(OdafinFinTutuola)6_1_cut.png;Law und Order;0
88;./greyInner/Ice-T(OdafinFinTutuola)5_1_cut.png;Law und Order;0
87;./greyInner/Ice-T(OdafinFinTutuola)12_1_cut.png;Law und order ;0
133;./greyInner/LeonardoDiCaprio3_1_cut.png;Leonardo DiCaprio;1
131;./greyInner/LeonardoDiCaprio1_1_cut.png;Leonardo DiCaprio;1
2;./greyInner/AlysonHannigan(Lily)12_2_cut.png;Lily;1
3;./greyInner/AlysonHannigan(Lily)14_2_cut.png;Lily;1
5;./greyInner/AlysonHannigan(Lily)8_3_cut.png;Lily;1
4;./greyInner/AlysonHannigan(Lily)5_4_cut.png;Lily;1
1;./greyInner/AlysonHannigan(Lily)1_1_cut.png;Lily;1
143;./greyInner/MariskaHargitay(Liv)4_4_cut.png;Mariska;1
145;./greyInner/MariskaHargitay(Liv)8_8_cut.png;Mariska;1
142;./greyInner/MariskaHargitay(Liv)14_1_cut.png;Mariska;1
42;./greyInner/CobieSmulders(Robin)2_1_cut.png;Mariska;0
98;./greyInner/JasonSegel(Marshall)6_1_cut.png;Marshall;1
96;./greyInner/JasonSegel(Marshall)11_1_cut.png;Marshall;1
99;./greyInner/JasonSegel(Marshall)7_1_cut.png;Marshall;1
100;./greyInner/JasonSegel(Marshall)9_1_cut.png;Marshall;1
9;./greyInner/AngelaMerkel5_1_cut.png;Merkel;1
7;./greyInner/AngelaMerkel3_1_cut.png;Merkel;1
8;./greyInner/AngelaMerkel4_1_cut.png;Merkel;1
6;./greyInner/AngelaMerkel1_1_cut.png;Merkel;1
157;./greyInner/NicoleKidman3_1_cut.png;Nicole Kidman;1
156;./greyInner/NicoleKidman14_1_cut.png;Nicole Kidman;1
158;./greyInner/NicoleKidman5_1_cut.png;Nicole Kidman;1
12;./greyInner/BarackObama11_2_cut.png;Obama;1
13;./greyInner/BarackObama2_1_cut.png;Obama;1
14;./greyInner/BarackObama4_1_cut.png;Obama;1
11;./greyInner/BarackObama1_3_cut.png;Obama;1
195;./greyInner/TomCruise7_1_cut.png;Tom Cruise;1
192;./greyInner/TomCruise4_1_cut.png;Tom Cruise;1
193;./greyInner/TomCruise5_1_cut.png;Tom Cruise;1
194;./greyInner/TomCruise6_1_cut.png;Tom Cruise;1
209;./greyInner/WillSmith5_1_cut.png;Will Smith;1
210;./greyInner/WillSmith6_1_cut.png;Will Smith;1
207;./greyInner/WillSmith14_1_cut.png;Will Smith;1
208;./greyInner/WillSmith4_1_cut.png;Will Smith;1
206;./greyInner/WillSmith1_1_cut.png;Will Smith;1
107;./greyInner/JoachimLoew12_1_cut.png;Wilson;0
167;./greyInner/RobertSeanLeonard(Wilson)10_1_cut.png;Wilson;1
170;./greyInner/RobertSeanLeonard(Wilson)8_1_cut.png;Wilson;1
169;./greyInner/RobertSeanLeonard(Wilson)2_6_cut.png;Wilson;1
168;./greyInner/RobertSeanLeonard(Wilson)11_2_cut.png;Wilson;1
104;./greyInner/JimParsons(SheldonCooper)8_1_cut.png;Wilson;0
166;./greyInner/RobertSeanLeonard(Wilson)1_1_cut.png;Wilson;1
64;./greyInner/EmilyDeschanel6_12_cut.png;eine von Spice Girls;0
113;./greyInner/JoshRadnor(Ted)6_2_cut.png;;0
112;./greyInner/JoshRadnor(Ted)3_1_cut.png;;0
111;./greyInner/JoshRadnor(Ted)1_2_cut.png;;0
171;./greyInner/SahraWagenknecht12_1_cut.png;;0
105;./greyInner/JimParsons(SheldonCooper)9_3_cut.png;;0
103;./greyInner/JimParsons(SheldonCooper)6_1_cut.png;;0
102;./greyInner/JimParsons(SheldonCooper)10_1_cut.png;;0
101;./greyInner/JimParsons(SheldonCooper)1_1_cut.png;;0
172;./greyInner/SahraWagenknecht2_2_cut.png;;0
173;./greyInner/SahraWagenknecht5_1_cut.png;;0
174;./greyInner/SahraWagenknecht6_2_cut.png;;0
97;./greyInner/JasonSegel(Marshall)14_1_cut.png;;0
175;./greyInner/SahraWagenknecht9_1_cut.png;;0
95;./greyInner/JanHofer9_2_cut.png;;0
94;./greyInner/JanHofer7_1_cut.png;;0
93;./greyInner/JanHofer5_1_cut.png;;0
92;./greyInner/JanHofer3_1_cut.png;;0
91;./greyInner/JanHofer1_3_cut.png;;0
160;./greyInner/NicoleKidman8_2_cut.png;;0
176;./greyInner/Shakira1_1_cut.png;;0
114;./greyInner/JoshRadnor(Ted)7_1_cut.png;;0
115;./greyInner/JoshRadnor(Ted)9_1_cut.png;;0
